creator_id,creator_name,category,followers,videos_this_month,follower_growth_rate,avg_views_per_video,engagement_rate,reject_rate,tier
CR001,Nam Official 12,Ẩm thực,26467,40,-2.16%,8746,2.87%,13.61%,Tier 3
CR002,Nam Review 18,Giải trí,44523,23,14.28%,4758,6.43%,29.46%,Tier 3
CR003,Nam Tech 97,Ẩm thực,32307,50,14.26%,4251,7.50%,15.24%,Tier 3
CR004,Quỳnh Makeup 39,Giải trí,4900,30,10.47%,667,7.86%,10.78%,Mass
CR005,Hoàng Official 84,Giải trí,3216018,61,0.68%,513602,4.20%,57.43%,Tier 1
CR006,Linh Food 11,Ẩm thực,21221,52,14.44%,1920,3.71%,26.52%,Tier 3
CR007,Minh Studio 84,Ẩm thực,73740,34,-2.92%,21107,3.70%,6.97%,Tier 2
CR008,Bình Food 59,Công nghệ,46539,55,-2.49%,7090,4.23%,14.97%,Tier 3
CR009,Trang Channel 13,Công nghệ,27434,28,11.71%,4872,8.82%,8.93%,Tier 3
CR010,Nam Channel 70,Thời trang & Làm đẹp,41783,54,1.99%,7817,10.67%,1.85%,Tier 3
CR011,Tuấn Beauty 64,Công nghệ,48145,30,22.51%,9456,11.13%,7.68%,Tier 3
CR012,Minh Food 62,Giáo dục & Kiến thức,3449655,4,21.78%,514586,3.50%,16.42%,Tier 2
CR013,Quỳnh Tech 40,Du lịch & Đời sống,50378,71,8.47%,4907,1.59%,10.71%,Tier 2
CR014,Minh Makeup 61,Du lịch & Đời sống,41781,29,20.63%,4739,6.03%,20.38%,Tier 3
CR015,Bình Review 49,Giải trí,2041996,44,4.34%,665169,7.63%,53.96%,Tier 2
CR016,Linh Beauty 72,Ẩm thực,1878581,119,11.69%,350220,11.12%,52.52%,Tier 1
CR017,Lan Official 17,Du lịch & Đời sống,2114,31,20.08%,285,9.17%,4.45%,Mass
CR018,Nam Channel 35,Thời trang & Làm đẹp,24653,20,17.58%,2030,6.68%,13.16%,Tier 3
CR019,Quỳnh Studio 51,Giải trí,6652,2,-1.71%,933,10.96%,16.62%,Mass
CR020,Bình Tv 38,Thời trang & Làm đẹp,76229,53,1.78%,18956,6.64%,0.71%,Tier 2
CR021,Quỳnh Review 34,Giải trí,33442,18,13.86%,2983,4.92%,16.10%,Tier 3
CR022,Hoàng Official 92,Công nghệ,39984,30,0.77%,3605,6.37%,24.95%,Tier 3
CR023,Hoàng Tips 60,Giải trí,1404017,6,5.22%,460470,6.77%,26.23%,Tier 2
CR024,Linh Studio 51,Giáo dục & Kiến thức,93243,64,10.67%,32213,9.49%,3.55%,Tier 2
CR025,Hà Food 72,Giáo dục & Kiến thức,43673,39,6.08%,12433,4.10%,22.84%,Tier 3
CR026,Hoàng Tech 15,Ẩm thực,788637,51,3.16%,42789,5.14%,3.91%,Tier 1
CR027,Tuấn Tech 81,Giáo dục & Kiến thức,12556,42,12.74%,2765,9.58%,1.40%,Tier 3
CR028,Kiều Channel 90,Du lịch & Đời sống,84772,76,1.06%,21461,2.75%,0.31%,Tier 2
CR029,An Makeup 33,Công nghệ,1800497,103,4.24%,428034,3.40%,0.15%,Tier 1
CR030,Đức Tv 29,Công nghệ,1743650,113,6.55%,130648,4.10%,4.23%,Tier 1
CR031,Lan Food 55,Công nghệ,289165,4,13.95%,72987,8.30%,10.90%,Tier 2
CR032,Minh Studio 63,Giáo dục & Kiến thức,45834,30,-0.49%,13929,5.58%,3.07%,Tier 3
CR033,Kiên Review 51,Thời trang & Làm đẹp,2097011,35,3.74%,283592,7.87%,47.55%,Tier 2
CR034,Linh Review 37,Công nghệ,25294,44,17.91%,3680,3.57%,7.99%,Tier 3
CR035,Lan Beauty 78,Công nghệ,90624,78,15.42%,20804,1.73%,18.49%,Tier 2
CR036,Hà Studio 90,Giải trí,33409,47,16.20%,6296,4.12%,13.86%,Tier 3
CR037,Minh Vlog 48,Giáo dục & Kiến thức,1105266,74,17.99%,330753,2.94%,73.28%,Tier 1
CR038,Tuấn Food 68,Giáo dục & Kiến thức,958631,2,3.48%,252215,5.05%,5.12%,Tier 2
CR039,Kiên Studio 81,Thời trang & Làm đẹp,72840,80,4.17%,16700,10.07%,8.27%,Tier 2
CR040,Kiên Makeup 39,Công nghệ,3079,7,5.44%,1136,4.12%,27.36%,Mass
CR041,Kiều Official 58,Giải trí,48550,19,4.35%,7303,8.72%,27.30%,Tier 3
CR042,Linh Tips 75,Giải trí,29102,23,16.95%,9707,4.91%,2.35%,Tier 3
CR043,Tuấn Tech 53,Thời trang & Làm đẹp,35177,32,16.63%,4972,11.41%,6.06%,Tier 3
CR044,Linh Beauty 55,Giáo dục & Kiến thức,36599,43,0.31%,3724,10.84%,26.29%,Tier 3
CR045,Kiều Vlog 10,Ẩm thực,8360,26,-4.04%,1822,10.34%,10.79%,Mass
CR046,Hoàng Tech 51,Giải trí,37296,59,-3.24%,6355,8.59%,12.44%,Tier 3
CR047,Bình Vlog 44,Giáo dục & Kiến thức,15798,42,21.03%,4741,11.26%,8.43%,Tier 3
CR048,Lan Official 84,Giải trí,3277766,85,1.62%,209562,11.73%,32.10%,Tier 1
CR049,Minh Review 34,Thời trang & Làm đẹp,54663,38,5.50%,15413,9.87%,8.42%,Tier 2
CR050,Hà Food 39,Giải trí,2214444,67,0.87%,669416,10.19%,74.70%,Tier 1
CR051,Đức Makeup 45,Thời trang & Làm đẹp,45407,39,0.39%,2723,5.76%,14.72%,Tier 3
CR052,Bình Studio 55,Ẩm thực,48912,23,3.57%,9456,2.91%,4.60%,Tier 3
CR053,Hà Studio 68,Giải trí,12424,16,2.01%,2142,4.23%,20.15%,Tier 3
CR054,Đức Tech 45,Công nghệ,2705433,5,9.06%,428672,3.88%,17.57%,Tier 2
